goop-02071	Kendall Jenner, Blake Griffin “Clash” Over Wedding Plans?	0	https://www.gossipcop.com/kendall-jenner-wedding-blake-griffin-marriage/	None	None	None	Shari Weiss	None	Kendall Jenner, Blake Griffin “Clash” Over Wedding Plans?	10:55 am, December 7, 2017	None	['Kendall_Jenner', 'Blake_Griffin']
pomt-12978	"In the last five years only one out of 60 -- one out of 60 -- appropriations bills has been passed on time before the end of the fiscal year."	mostly true	/georgia/statements/2016/dec/21/tom-price/price-mostly-correct-budget-bills/	Before Georgia Rep. Tom Price of Roswell in metro Atlanta, was nominated for a position in Donald Trump’s cabinet, he was in charge of the House Budget Committee. The physician-turned-congressman has been an outspoken critic of Obamacare -- and Washington gridlock. Price will continue to be the chairman until he is confirmed for a Cabinet position by the Senate. At a recent event in Washington D.C. at the Brookings Institution, Trump’s pick for Secretary of Health and Human Services spoke on the effectiveness, or lack thereof, of the annual government funding process. Price said, "In the last five years only one out of 60 -- one out of 60 -- appropriations bills has been passed on time before the end of the fiscal year." Congress often passes spending bills belatedly. But we wondered, do so few really get passed on time? PolitiFact Georgia decided to take a look. Background For some background, we looked to who is responsible for what when it comes to the budget. The Budget Committee, which Price has chaired since 2015 after taking over from now-Speaker Paul Ryan, is made up of five members from the Committee on Ways and Means, five members from the Committee on Appropriations, and one member from the Committee on Rules. The committee is responsible for developing the annual budget resolution, which is what kicks off the budget process by setting the top line number for appropriations. Basically, it sets the ceiling for how much money the 12 annual appropriations bills can collectively spend. Appropriations bills start in the House. Both the House and Senate come up with their own versions of the bills. The chambers can pass bills individually, and regularly do, but the bills must match before being sent to the president. To start the process, the House and Senate Appropriations Committees take the top line number set by the budget committee, divvy it among the 12 bills and then write bills to those numbers. For the last several years, Congress has been prone to passing continuing resolutions that extend pre-existing appropriations, and omnibus spending bills that pack many smaller, regular appropriations bills into one, instead of new, individual bills each fiscal year. Additionally, only one-third of federal spending is done through annual appropriations bills approved by Congress. The other two-thirds is mandatory spending on entitlements such as Social Security and Medicare. But mandatory spending appropriations aren’t permanent -- Congress can make changes in the law that alter spending within mandatory programs. One lone bill We found that this bill, the lone appropriations bill passed before the end of the fiscal year that Price speaks of, does, in fact, stand alone. We reached out to Price’s spokesperson Ryan Murphy. He sent us a compilation of background information by some federal sources. Earlier this year, Congress passed an appropriations bill on military construction, which was signed into law by President Obama on Sept. 29, two days before the start of the 2017 fiscal year. According to a number of bills listed on Congress.gov, the military construction bill passed in September is the only full, line-by-line appropriations bill that has been enacted before Oct. 1 in the last five years. (Although continuing resolutions are technically appropriations bills and pass before the Oct. 1 deadline, this is the only full appropriations bill with new funding that was passed.) But some of the issue with Price’s statement comes from his choice of words. The House and Senate pass bills, but those versions must be reconciled and passed again before they can be enacted after being signed into law by the president. The Senate website says, "Once legislation has passed both chambers of Congress in identical form, been signed into law by the president, become law without his signature, or passed over his veto, the legislation is enacted." Our ruling Health secretary nominee Tom Price said, "In the last five years only one out of 60 -- one out of 60 -- appropriations bills has been passed on time before the end of the fiscal year." And that’s basically true. Congress has turned to omnibus spending bills and continuing resolutions to fund the government for the last couple of years, which differ from full appropriations bills. However, in the last five years, appropriations bills were passed by individual chambers before the end of the fiscal year, they just weren’t matched by the other chamber or reconciled. Even then, all but one was signed into law by the president (and enacted) after Oct. 1. We rate his statement Mostly True.	None	Tom Price	None	None	None	2016-12-21T06:00:00	2016-11-30	['None']
goop-02868	Scott Disick, Tyga Doing Reality Show Together, 	0	https://www.gossipcop.com/scott-disick-tyga-reality-show-tv-series/	None	None	None	Shari Weiss	None	Scott Disick, Tyga NOT Doing Reality Show Together, Despite Report	11:04 am, April 13, 2017	None	['None']
goop-02664	Angelina Jolie Having Baby With “Secret Lover”?	0	https://www.gossipcop.com/angelina-jolie-baby-secret-lover-philanthropist/	None	None	None	Michael Lewittes	None	Angelina Jolie Having Baby With “Secret Lover”?	5:34 pm, July 16, 2017	None	['None']
pomt-00307	Says that Dianne Feinstein said that "all vets are mentally ill in some way and government should prevent them from owning firearms."	pants on fire!	/facebook-fact-checks/statements/2018/sep/24/blog-posting/quote-dianne-feinstein-about-veterans-and-guns-fab/	A quote allegedly from Sen. Dianne Feinstein, D-Calif., saying veterans are mentally ill and shouldn't own firearms is fabricated. On Sept. 16, Facebook user Len Stanchick posted a combination of memes depicting Feinstein. One of them reflected her well-known faked quote which became viral in 2013. One of the images quotes Feinstein as saying, "All vets are mentally ill in some way and government should prevent them from owning firearms." Source: Facebook This image was flagged as part of Facebook’s efforts to combat false news and misinformation on its News Feed. (Read more about our partnership with Facebook.) Here's how the hoax was born. At a March 7, 2013, Senate hearing to reinstate a ban on certain types of assault weapons, Texas Sen. John Cornyn offered an amendment to exempt former military personnel from the law. Cornyn said that veterans should be allowed to own assault weapons as they are most highly-trained and qualified individuals. He also explained that disarming these people prevents veterans of a way to protect their families and communities. He said, "Members and veterans of the Armed Forces are the most highly-trained and qualified individuals to own these weapons for self-defense purposes. We should think long and hard before disarming these heroes, preventing them from protecting their families and communities." Feinstein oppposed the amendment. Part of her rationale was that some veterans could suffer from post-traumatic stress disorder. "If I understand this, this (amendment) adds an exemption of retired military. As I understand our bill, no issue has arose (sic) in this regard during the 10 years the expired ban was in effect and what we did in the other bill was exempt possession by the United States or a department or agency of the United States. So that included active military. The problem with expanding this is that, you know, with the advent of PTSD, which I think is a new phenomenon as a product of the Iraq War, it’s not clear how the seller or transferrer of a firearm covered by this bill would verify that an individual was a member, or a veteran, and that there was no impairment of that individual with respect to having a weapon like this. So, you know, I would be happy to sit down with you again and see if we could work something out but I think we have to — if you’re going to do this, find a way that veterans who are incapacitated for one reason or another mentally don’t have access to this kind of weapon." (See the discussion via C-Span starting from 1:30:00.) Feinstein never said that "all vets are mentally ill" or the "government should prevent them from owning firearms." However, that false quote was fabricated and spread throughout the internet, especially across different political forums. The story has been recycling since 2013 and most of them cite Los Angeles Times columnist Burt Prelutsky as the initial source in order to gain credibility. According to Snopes.com, Burt Prelutsky is not a Los Angeles Times columnist. Feinstein's words were mangled beyond what she said. We rate this claim Pants on Fire.	None	Bloggers	None	None	None	2018-09-24T17:24:49	2018-09-24	['Dianne_Feinstein']
snes-04218	An image shows the rejection letter Donald Trump received from Harvard University.	false	https://www.snopes.com/fact-check/donald-trumps-harvard-rejection-letter/	None	Junk News	None	Dan Evon	None	Donald Trump’s Harvard Rejection Letter	18 August 2016	None	['Harvard_University', 'Donald_Trump']
pomt-14901	Wisconsin’s Government Accountability Board "ignored their duties and did not regularly audit" voters to remove felons "for a span of 16 elections.	half-true	/wisconsin/statements/2015/nov/06/scott-walker/scott-walker-says-state-board-failed-16-elections-/	To rally support for a GOP bill to break apart Wisconsin’s agency that oversees elections and ethics matters, Gov. Scott Walker is casting the Government Accountability Board as incompetent. At one point, he stormed Twitter using the #ReformGAB hashtag. In one Oct. 13, 2015 tweet, he claimed the agency wanted to consider Mickey Mouse and Adolf Hitler as valid signatures on recall petitions -- a claim we rated False. In another tweet from the series that day, Walker wrote: "GAB ignored their duties & did not regularly audit the voter rolls to remove all felons - for a span of 16 elections. #ReformGAB" With the issue still awaiting final action in the Republican-controlled Legislature, we decided to check it out. GAB history In 2007, the Legislature combined two agencies -- one overseeing ethics, the other overseeing elections -- to create the Government Accountability Board. The board was created in the wake of the 2002 caucus scandal, which involved politicians from both sides of the aisle misusing taxpayer-paid staffers to conduct campaign work, and amid other questions about how well elections were being overseen. Then-Senate Majority Leader Mike Ellis (R-Neenah) led the charge. The bill was approved unanimously in the Senate and only had two dissenting votes in the Assembly. Since 2008, the board -- made up of retired judges appointed by the governor and approved by the state Senate -- has overseen Wisconsin elections, campaign finance, lobbying and ethics laws. One of the board’s responsibilities is to conduct post-election reviews to determine if any felons voted in that election. That’s where Walker’s claim comes in. The audit Walker’s team pointed to a December 2014 report from the nonpartisan Legislative Audit Bureau as support for his claim that the board "ignored their duties and did not regularly audit" voters to remove felons "for a span of 16 elections." So what does the report say? According to the audit, GAB officials told auditors in May 2014 that post-election felon audits from 16 elections between February 2010 through April 2014 had not been completed. Under state law, the board is required to conduct post-election audits of voters who registered on Election Day, or within 20 days before an election, to determine if any ineligible felons voted. The GAB staff told auditors they did not perform these reviews, in part, because of concerns that the system to identify felons who remained on probation or parole wasn’t reliable. Individuals who are not felons were being flagged as having voting illegally. One person was even charged with illegally voting as a felon based on a false positive match. Agency officials said they put post-election audits on hold until the system for checks was more accurate. The agency added additional steps to the final audit to catch false positives before referral to the district attorney. The audit notes the review was completed by July 2014. So this duty was postponed for 16 elections, but not ignored entirely. What’s more, Walker’s claim is a bit jumbled. He said the ignored duty was meant to remove felons. But the post-election felon audit is a final check to see if any felons voted, not primarily to remove them from voter rolls. That effort comes earlier in the process, and is done mainly by local clerks. Each month, GAB receives a list of felons from the Department of Corrections, which is then compared against the voter list. Matches are referred to the voter’s municipal clerk’s office, which decides if there is a true match and inactivates the voter. The Legislative Audit Bureau did not find GAB to have neglected this duty. GAB also provides clerks with the list of felons before the election to ensure none of them received an absentee ballot, registered later or on Election Day. Our rating Walker said the state Government Accountability Board "ignored their duties and did not regularly audit" voters to remove felons "for a span of 16 elections." The GAB postponed the completion of post-election audits, due to concerns about inaccurate identification of felons, according to a Legislative Audit Bureau report. But the audit in question was not primarily designed to remove voters from the rolls as Walker claims. That work, which involves local clerks, comes before the election. For a statement that is partially accurate, but misleading, we rate the claim Half True.	None	Scott Walker	None	None	None	2015-11-06T10:15:00	2015-11-06	['None']
tron-01596	How tax cuts work	unproven!	https://www.truthorfiction.com/taxcuts/	None	government	None	None	None	How tax cuts work	Mar 17, 2015	None	['None']
vees-00349	CBCP condemned killings of Maute, Hapilon	fake	http://verafiles.org/articles/week-fake-news-cbcp-did-not-condemn-killings-maute-hapilon	None	None	None	None	Maute group,CBCP,fake news,Marawi City,isnilon hapilon	THIS WEEK IN FAKE NEWS: CBCP DID NOT condemn killings of Maute, Hapilon	October 20, 2017	None	['None']
pomt-15082	At this point in 2012, "Rick Perry was ahead at 29.9 percent, and we had seven more leads before it finally settled on Mitt Romney."	mostly true	/punditfact/statements/2015/sep/20/karl-rove/rove-says-2012-nomination-fight-saw-many-poll-lead/	A major poll conducted soon after the second Republican presidential debate showed a huge bump for former Hewlett Packard CEO Carly Fiorina. A survey by CNN found Fiorina shot from 3 percent in early September to 15 percent now, putting her in a statistical tie for second with physician Ben Carson. Real estate billionaire Donald Trump still leads with 24 percent, but he’s down 8 points from the last CNN poll. The pundits had lots to say about a fluid field. Karl Rove warned against taking any lead in the polls too seriously at this point. "Let's just remember, we are at the beginning of this process," Rove said on Fox News Sunday on Sept. 20, 2015. "As of now, in 2012, Rick Perry was ahead at 29.9 percent, and we had seven more leads before it finally settled on Mitt Romney on Feb. 28 of 2012. " Rove said the Republicans might not settle on a nominee until March or even April. We thought it would be interesting to look back at the 2012 Republican contest and see if the "yellow jersey" moved around as much as Rove said. The GOP strategist was largely correct. The 2012 election polls Rove’s office told us his source was an interactive chart on RealClearPolitics.com. The bright lines show the rise and fall of several of the candidates. Perry reached 29.9 percent on Sept. 17, 2011, and had fallen slightly to 28.2 percent on Sept. 20, 2011. So that’s very close to what Rove cited. Source: RealClearPolitics.com We looked for each candidate’s highest poll average in each period when the lead changed hands. If we take the poll numbers at face value, the lead shifted nine times before Romney took it, held it and went on to win the nomination. For the purists, since most polls have a margin of error of at least 3 percent, we could discount those times when the lead was statistically doubtful. If we did that, we would still end up with six lead changes in the period Rove described. We should note that the lead sometimes went back to a previous lead holder. Overall, five candidates shared the lead: Romney, Perry, Herman Cain, Newt Gingrich and Rick Santorum. Candidate Date Overall % Lead Perry Sept. 20 28.2 8.6 Romney Oct. 10 21.9 5.5 Cain Nov. 3 26 2.2 Romney Nov. 12 22.5 0.5 Gingrich Dec. 13 35 12.7 Romney Jan. 18 33.1 14.8 Gingrich Jan. 27 29.3 2.3 Romney Feb. 8 34.5 11.7 Santorum Feb. 18 34.3 6.6 Romney Feb. 29 33 1.7 Source: RealClearPolitics.com Other polls Individual polls from different polling groups generally show a fair bit of movement, but not as much as the aggregated numbers that Rove used. For example, the Pew Research Center poll showed four lead changes. The Fox News poll also came up with four. These surveys were not done as frequently as all the polls that fed into RealClearPolitics.com's average, and so they might miss relatively brief periods when the lead bounced back and forth among Romney, Gingrich, Cain and Santorum. Flighty voters in the early months The 2012 Republican nomination saw a robust number of competitors. The race this year is even more crowded. Martin Cohen, a political scientist at James Madison University, said this all feeds into "the media's fetish with the new and exciting." Cohen places very little importance at polls at this point. "Voters are influenced by media coverage and the post-debate spin,"he told us. "But it doesn't mean that is the way they will ultimately vote or even whether they will vote at all." Cohen said if you want to spot the real leaders, keep track of who snags the best and most influential endorsements. Our ruling Rove said the leader in the race for the Republican nomination changed seven times between September 2011 and the end of February 2012. Using the polling average numbers, that is a fair summary, and some might argue that the lead moved around even more. We found that five individual candidates -- Perry, Romney, Cain, Gingrich and Santorum -- handed the lead back and forth during that time period. Looking at individual polls, the lead might shift less often, but the window on the race those polls offer is not as detailed as the method Rove used. There might be minor quibbles about the exact tally, but Rove was in the ballpark. We rate this claim Mostly True.	None	Karl Rove	None	None	None	2015-09-20T16:03:06	2015-09-20	['Rick_Perry', 'Mitt_Romney']
pomt-09573	"Last week, the Supreme Court reversed a century of law that I believe will open the floodgates for special interests – including foreign corporations – to spend without limit in our elections."	mostly false	/truth-o-meter/statements/2010/jan/27/barack-obama/obama-says-supreme-court-ruling-allows-foreign-com/	On Jan. 21, 2010, the U.S. Supreme Court issued a landmark ruling striking down barriers to corporations spending money directly from their own treasuries to influence elections. The 5-4 decision in Citizens United vs. Federal Election Commission has drawn fire from President Barack Obama twice -- first in a weekly radio address and, now, during his State of the Union address. The president told a joint session of Congress on Jan. 27, 2010, that "it's time to put strict limits on the contributions that lobbyists give to candidates for federal office. Last week the Supreme Court reversed a century of law that I believe will open the floodgates for special interests –- including foreign corporations –- to spend without limit in our elections. Well I don't think American elections should be bankrolled by America's most powerful interests, and worse, by foreign entities. They should be decided by the American people, and that's why I'm urging Democrats and Republicans to pass a bill that helps to right this wrong." That's much the same argument he made in his Jan. 23 radio address, when he argued that "even foreign corporations may now get into the act" of spending "an unlimited amount of special interest money" for political purposes. We published an item on Jan. 26 -- one day before the State of the Union address -- that investigated whether the justices' ruling did in fact open the door to foreign companies spending freely on American campaigns. We're updating and expanding it now that Obama has mentioned this issue in his State of the Union address. First, some background. In Citizens United, the justices overturned previous decisions that prohibited, in the court's words, "corporations and unions from using their general treasury funds to make independent expenditures for speech defined as an 'electioneering communication' or for speech expressly advocating the election or defeat of a candidate." While corporations are still barred from giving directly to federal candidates, they are no longer forced to create political action committees in order to spend money on electioneering. A corporation, the justices held, may simply spend funds from its own accounts. Critics of the majority's opinion warned that allowing political spending by corporations could also undermine existing barriers to foreign corporate spending on elections. Current federal law -- legal eagles can find it at 2 U.S.C. 441e(b)(3) -- prevents "a partnership, association, corporation, organization, or other combination of persons organized under the laws of or having its principal place of business in a foreign country" from making "directly or indirectly" a donation or expenditure "in connection with a Federal, State, or local election," to a political party committee or "for an electioneering communication." The majority opinion, authored by Associate Justice Anthony Kennedy, maintained that the court was not specifically overturning this barrier to foreign campaign spending, essentially saying that it was outside the scope of the opinion. "We need not reach the question whether the Government has a compelling interest in preventing foreign individuals or associations from influencing our Nation's political process," the majority wrote. But in a strongly worded and sometimes bitter dissent, Associate Justice John Paul Stevens latched onto the question of campaign spending by foreign companies as an example of the majority opinion's shortcomings, bringing it up no fewer than three times. "The notion that Congress might lack the authority to distinguish foreigners from citizens in the regulation of electioneering would certainly have surprised the Framers," said Stevens. He went on to quote Fordham University law professor Zephyr Rain Teachout's observation that the Framers' "obsession with foreign influence derived from a fear that foreign powers and individuals had no basic investment in the well-being of the country." (Teachout, incidentally, directed Internet organizing for Howard Dean's 2004 presidential campaign.) But passionate as his view is, Stevens' dissent holds no legal authority. Indeed, the legal experts we spoke to after Obama's radio address said that the president was overstating the immediate impact of the opinion. They said Obama was correct that the ruling could open the door to foreign companies spending on American campaigns, given the general direction of the majority's opinion. But because the majority justices didn't actually strike down the existing barriers on foreign companies -- in fact, they explicitly wrote that it fell beyond the boundaries of their decision -- our experts agreed that Obama erred by suggesting that the issue is settled law. Until test cases proceed and further rulings are handed down, Obama's claim about foreign campaign spending is a reasonable interpretation, and nothing more. "Some people think that Kennedy's opinion in Citizens United logically leads there," said Robert Kelner, who chairs the election and political law practice group at the law firm Covington & Burling. "Maybe it does, maybe it doesn't. We don't know for sure." Brett Kappel, a political law specialist with the law firm Arent Fox, said the Citizens United opinion "certainly could be read as declaring this provision unconstitutional, so I'd have to say the president's interpretation is correct -- but we won't really know for sure until a court rules on the issue." Critics of the ruling -- including some readers who contacted PolitiFact after we posted our original analysis -- have zeroed in on one scenario in particular, "that foreign corporations with U.S. subsidiaries are likely to be able to now spend unlimited amounts on American elections," in the words of the liberal blog Think Progress. In one theoretical example offered by the Web site Politico, "even if Sony Corp. in Japan couldn't spend money directly for or against a candidate, the electronics company's American-based subsidiaries could." According to Politico, the White House and Democratic lawmakers have been discussing legislation to mitigate the impact of the ruling, including directly addressing the question of how foreign companies should be treated. The scenario involving foreign-owned U.S. subsidiaries hinges on a quirk in the law that had seemed to be of little consequence, but which now may loom large. The federal law cited above -- 2 U.S.C. 441e(b)(3) -- defines U.S. companies as those incorporated under U.S. law or that have their headquarters here. It is silent on the treatment of companies that are incorporated and headquartered in the United States but are owned by foreigners. That uncertainty could indeed provide a loophole for spending unlimited amounts of money on politics. But even that interpretation is not a slam dunk. Federal Election Commission regulations say that a foreign national cannot "direct, dictate, control, or directly or indirectly participate in the decision-making process" for spending money for political purposes, a principle that could keep the critics' worst-case scenario from coming true, said Tara Malloy, an associate counsel with the Campaign Legal Center. What that FEC regulation means for political spending by a foreign-owned company is far from clear. So, if anything, uncertainties about how foreign-owned U.S. subsidiaries would be treated only further muddies the question. Based on our reading of the court's opinion and interviews with campaign law experts, we find that Obama has overstated the ruling's immediate impact on foreign companies' ability to spend unlimited money in U.S. political campaigns. While such an outcome may be possible, the majority opinion specifically said it wasn't addressing that point, and only further litigation would settle the matter once and for all. So we find Obama's claim to be Barely True. Editor's note: This statement was rated Barely True when it was published. On July 27, 2011, we changed the name for the rating to Mostly False.	None	Barack Obama	None	None	None	2010-01-27T23:56:07	2010-01-27	['None']
pomt-08912	"25 percent of our economy is the financial sector."	mostly false	/truth-o-meter/statements/2010/jul/28/david-gregory/meet-press-david-gregory-says-financial-sector-equ/	On July 25, 2010, David Gregory, the host of NBC's Meet the Press, asked Treasury Secretary Timothy Geithner if the relative size of the financial sector in the United States bothered him. "As someone's who concerned about the overall growth of the economy, the role of education, innovation, manufacturing, does it trouble you that 25 percent of our economy is the financial sector, which doesn't actually make anything besides money?" Gregory asked. Geithner largely sidestepped the question, saying, "I don't know ... how large the system's going to be in the future. You can't really tell." But we were actually more interested in the statistic underlying Gregory's question. Is he right that the financial sector accounts for a full one-fourth of the American economy? To find the answer, we looked at several statistical tables from the U.S. Commerce Department's Bureau of Economic Analysis. Here's what they show: • Gross output by industry. For the most recent year available, 2008, the category "finance, insurance, real estate, rental, and leasing" accounted for $4.846 trillion in gross output, compared to $26.574 trillion for the entire economy. That's 18 percent. If you calculate it as a share of the private economy alone, which was $23.467 trillion that year, then it accounted for a little under 21 percent. Neither calculation reaches the 25 percent Gregory specified -- but the best estimation for the "financial sector" may be even lower. We asked economists whether they thought that "finance, insurance, real estate, rental, and leasing" was really the right category to be using, and they agreed it was too broad. "However you look at it, including real estate, rental, or leasing would be wrong," said J.D. Foster, a senior fellow at the conservative Heritage Foundation. "At the core of Gregory's premise is that people are making money off of money. Real estate, rental, and leasing all involve tangible property of some sort." Fortunately, the statistics break out "finance and insurance" as a separate total. This category generated $2.169 trillion in gross output in 2008, which equals about 8 percent of the whole economy and 9 percent of the private economy. So by this measure, the actual percentage is far below what Gregory said. • Value added by industry. For 2009, "finance, insurance, real estate, rental, and leasing" accounted for $3.058 trillion in value added, compared to $14.256 trillion for the whole economy. That's 21 percent. If you calculate it as a share of the private economy alone, which was $12.324 trillion that year, then it accounted for 25 percent -- the first number we've calculated that matches Gregory's percentage. If you use the narrower "finance and insurance" figure instead, you'll find that this category generated $1.198 trillion in value added in 2009, which equals about 8 percent of the entire economy and almost 10 percent of the private economy. Once again, the narrower category falls far short of Gregory's estimate. • Compensation of employees by industry. For 2008, "finance, insurance, real estate, rental, and leasing" accounted for about $718 billion in employee compensation, compared to $8.037 trillion for the whole economy. That's 9 percent. If you calculate it with private compensation alone, which was $6.474 trillion, it works out to 11 percent. Both are well below Gregory's estimate. Once again, using the narrower "finance and insurance" figure instead, you'll find that this category generated about $608 billion in employee compensation in 2008, which equals less than 8 percent of the whole economy and a bit more than 9 percent of the private-sector economy. Gary Burtless, an economist with the liberal-to-centrist Brookings Institution, suggests that Gregory may have been thinking about financial-sector corporate profits as a share of all corporate profits, which requires a different calculation. In 2009, the financial sector -- which does not appear to include real estate in this case -- recorded $331.2 billion in profits. Compared to the $1.309 trillion in total adjusted corporate profits, that's almost exactly the 25 percent figure Gregory mentioned. (We e-mailed Gregory but didn't receive a response by publication time.) Burtless agreed that if Gregory meant to cite the profits figure, then he misspoke. But Burtless added that the corporate profits number is notable for being high -- and rising in recent years. "The percentage is dramatically higher than was the case back when the U.S. economy was delivering much better income growth for Americans in the middle and at the bottom of the income distribution," Burtless said. "The years 1950 to 1973 were pretty good years for middle-income families, and back in that era, financial companies earned an average of 13 percent of all corporate profits. If Gregory was trying to suggest there may be something wrong with an economy in which 25 percent of corporate profits are earned by bankers, brokers, hedge fund managers, insurance companies, and the like, there may be something to that argument." A final note. While we aren't directly rating Gregory's claim that the "financial sector ... doesn't actually make anything besides money," we thought it would be worth relaying a strong objection to Gregory's characterization by Foster of Heritage. "You don't have to love Wall Street or the big banks to acknowledge the vital role of financial markets in helping those who do make things do so more efficiently and at lower cost, and in helping the nation use its financial capital to greatest advantage," he said. "If the financial industry 'doesn't make anything,' what exactly does the news business make? Of course, they both provide important services, and you know those services are important because people are willing to pay for them." Now let's get back to the specific statement we're rating -- that "25 percent of our economy is the financial sector." We calculated the numbers 12 different ways, and only one reached Gregory's 25 percent threshold. Reaching that level requires including "real estate, rental and leasing" in the equation (which our experts said is not the best way to calculate it) and dividing by the private economy only (a distinction Gregory did not make). By contrast, the narrower definition of the financial sector that our experts favored consistently produced percentages one-third to one-half as big as Gregory suggested. Still, one of our calculations did reach 25 percent, which is enough to rate his statement Barely True. CORRECTION: The initial version of this item mistakenly paraphrased Burtless as saying that Gregory may have been thinking of "corporate profits as a share of the economy." The story has been corrected above to say, "financial-sector corporate profits as a share of all corporate profits." Editor's note: This statement was rated Barely True when it was published. On July 27, 2011, we changed the name for the rating to Mostly False.	None	David Gregory	None	None	None	2010-07-28T14:52:43	2010-07-25	['None']
goop-01411	Kris Jenner Did Pay Travis Scott To Stick Around Kylie & Baby, 	0	https://www.gossipcop.com/kris-jenner-pay-travis-scott-stick-around-kylie-jenner-baby-millions/	None	None	None	Michael Lewittes	None	Kris Jenner Did NOT Pay Travis Scott To Stick Around Kylie & Baby, Despite Report	12:02 pm, March 11, 2018	None	['None']
pomt-00783	"Suntrust Bank cancels account because company sells guns."	mostly false	/florida/statements/2015/apr/08/florida-news-flash/suntrust-bank-closed-brooksville-shops-accounts-se/	A bank suddenly closing checking accounts for a Brooksville pawn shop that sells guns has opened up Internet speculation that the Obama administration influenced the decision. Under the headline "Suntrust Bank Cancels Account Because Company Sells Guns," the website FloridaNewsFlash.com recounts how American Gun & Pawn owner Steve Champion received a letter from SunTrust dated March 20, 2015, telling him his deposit accounts, safe deposit boxes and credit cards would be closed. (A reader first alerted us to the story after seeing it on Facebook.) The letter said that after an account review, American Gun & Pawn’s accounts were no longer jibing with SunTrust’s "corporate business objectives." There were no specifics in the letter, beyond information that he had a month to close his accounts or they would be closed for him. When Champion contacted the bank, he said a service rep told him he had received "one of those gun letters going around to the gun and pawn shops." The bank wouldn’t reverse the decision. Champion posted the letter on his shop’s Facebook page, kicking off a flurry of conspiracy theories that SunTrust and other banks were working at the behest of the Obama administration, which was trying to stamp out gun sales nationwide. FloridaNewsFlash.com, apparently first to report the news online, stoked the fire by saying it was part of an ominous program from the Obama administration called "Operation Choke Point." Many other sites have followed suit. SunTrust told us they didn’t close American Gun & Pawn’s accounts because the shop sold guns. As we dug into the details, we found that the bank was ending its relationship with some types of customers, but those customers weren't specifically gun shops. Bank policy SunTrust denied they are closing accounts with gun shops, but they are ending relationships with pawn shops. "Any suggestion that this is a firearms issue is inaccurate," spokesman Michael McCoy told us. SunTrust announced in a Aug. 8, 2014, press release that the bank had "decided to discontinue banking relationships with three types of businesses – specifically payday lenders, pawn shops and dedicated check-cashers – due to compliance requirements." The bank still works with firearms dealers, according to the release. It takes a little guesswork to determine just why SunTrust has stopped dealing with all pawn shops. There’s no specific regulation saying the bank can’t work with them, and SunTrust would only reiterate to us that they had adopted the policy. And we did find other cases of SunTrust dropping pawn shops in other parts of the country. We’re not going to weigh in on whether or not it’s fair for banks to deny accounts to pawn shops or payday lenders, although Champion said it was an unfair end to two decades of banking. "I’ve heard about stuff like this," he told PolitFact Florida. "But it doesn’t matter either way, whether I’m a pawn shop or a gun shop, because I’m a legal business. This is not right." Choke Point FloridaNewsFlash.com writer Samuel McCall didn’t want to comment on the record about Champion’s story, but said he reported it the way Champion told it to him. McCall’s report tied the SunTrust letter to the aforementioned Operation Choke Point. The U.S. Justice Department started Operation Choke Point in 2012 as a way to stop banking fraud. The operation specifically investigated banks’ relationships with "third-party payment processors" -- the payment services that online stores often rely upon -- to determine if they were defrauding consumers. Gun rights advocates drew a connection between gun dealers and Choke Point from 2011 guidelines from the Federal Deposit Insurance Corp. that identified so-called "high-risk" businesses that commonly use third-party payment processors. The guidelines warned merchants who used these services had higher than normal potential for committing fraud. The FDIC list included pawn shops, payday lenders, pornography and yes, firearms and ammunition dealers. (The list also included telemarketers, fireworks sellers, dating services and coin dealers, among others.) This list led to a firestorm of criticism that the government was attempting to shut down legal businesses through Choke Point, eventually resulting in an investigation by the House Oversight Committee. A report from chairman Darrell Issa, R-Calif., concluded in May 2014 that the FDIC list had become a sort of hit list of businesses for Choke Point to target. The Justice Department denied the charge, saying none of their cases involved legal businesses like gun dealers or porn, and the FDIC removed the list in July 2014. Justice Department spokesman Patrick Rodenbush told us the three fraud cases that stemmed from Choke Point involved banks. "In no case has the department targeted any lawful enterprise, such as gun or ammunition sellers," he said. But the American Banking Association told us it was likely banks had been influenced by federal guidelines in some fashion, though it had no specific information about which ones or why. The FDIC addressed banking concerns with a letter in January 2015 urging banks to evaluate customers "on a case-by-case basis" instead of denying service to entire categories of businesses out of fear of not complying with federal law. In any case, the backlash against the program continues, with groups like the U.S. Consumer Coalition running a website allowing people to share their stories of businesses allegedly being affected by Choke Point. Brian Wise, senior adviser for the group, contends Choke Point has one purpose the government won’t admit: "To go after businesses they couldn’t legislate out of existence for the last two decades." Our ruling FloridaNewsFlash.com said, "Suntrust Bank Cancels Account Because Company Sells Guns." Actually, the bank decided recently to end relationships with pawn shops, payday lenders and check cashers, but it will still work with firearms dealers. The FDIC has warned banks to examine relationships with customers that use third-party payment processors, because of the risk of consumer fraud, and a federal program called Operation Choke Point has investigated the same issue. Gun rights advocates have argued that Operation Choke Point is a backdoor way of targeting gun shops, but the government denies there’s any such plan to target gun dealers, and no one has been able to truly prove otherwise. Overall, we rate the statement Mostly False.	None	Florida News Flash	None	None	None	2015-04-08T14:12:06	2015-03-29	['None']
