snes-00238	A photograph shows a woman buried up to her neck jsut before being stoned to death in Iran.	miscaptioned	https://www.snopes.com/fact-check/buried-woman-stoned-photo/	None	Fauxtography	None	David Mikkelson	None	Does This Photograph Show a Woman About to Be Stoned to Death in Iran?	9 August 2018	None	['Iran']
goop-00079	‘The Voice’ Coaches ‘Furious’ Over Mariah Carey Being Hired As Advisor, 	0	https://www.gossipcop.com/mariah-carey-the-voice-coaches/	None	None	None	Gossip Cop Staff	None	‘The Voice’ Coaches NOT ‘Furious’ Over Mariah Carey Being Hired As Advisor, Despite Report	1:34 am, October 27, 2018	None	['None']
pomt-08149	Measures taken by my administration "have saved taxpayers $1 billion."	mostly true	/rhode-island/statements/2010/dec/05/donald-carcieri/carcieri-says-his-administration-saved-rhode-islan/	Forget the $64,000 question. That's chump change these days. With Governor Carcieri about to leave office, the question is: Did his administration save Rhode Island taxpayers $1 billion during his eight years in office? Carcieri made that claim in a commentary piece published in The Providence Journal on Nov. 8. "Today state government is leaner, more frugal and more accountable to the taxpayers than it was eight years ago," he wrote. "We have enacted separation of powers; cleaned up Resource Recovery and Beacon Mutual; reduced the number of state employees by over 2,000; implemented state employee pension and health-insurance reforms; rooted out government waste, and instituted scores of efficiencies over the years. Combined, these measures have saved taxpayers nearly $1 billion." That's a lot of money, especially in a state facing huge budget deficits. We wondered where those saving came from, so we asked the Carcieri administration for the details to back up that $1 billion claim. After a week and a half, administration officials provided a spreadsheet that shows savings in 16 categories totaling $1,067,484,418.97. We examined them all. But let's talk about the four big-ticket items that, together, account for $803.5 million of the savings. "Staff Reduction" The administration says it saved a total of $191.6 million by cutting the number of full-time-equivalent state employees from 15,312 to 13,050 -- a reduction of 2,262 jobs -- which matches Carcieri's claim that he reduced the number of state employees by "over 2,000." The administration uses numbers from the start of the 2003 fiscal year -- six months before Carcieri took office. If you start counting when Carcieri became governor, the job cuts total 2,033, House fiscal records show. But that's still "over 2,000." The administration excluded research positions at state colleges sponsored by third parties. But House fiscal officials, who have a big role in writing the budget, think it's best to include those positions, House spokesman Larry Berman said. If you do, the Carcieri administration has cut 1,761 jobs, he said. We then questioned whether the administration had replaced state employees with contract workers. Berman said it's tough to tell, but the Assembly has established greater scrutiny and controls over use of contractors in lieu of state employees. Rosemary Booth Gallogly, Carcieri's director of administration, said the state had 873 contract employees before Carcieri took office and now it has no more than 646. To calculate the $191.6 million in staff-reduction savings, the administration multiplied the number of full-time equivalents cut each year by that year's average cost of state employee wages and benefits. (The wage-and-benefits average rose from $68,315 in fiscal year 2003 to $95,197 in fiscal year 2010.) "Pension Reform" On the administration's original spreadsheet, the single largest category of savings was "Pension Reform," totaling $398.8 million. Administration documents show the pension savings came in three waves, beginning in fiscal year 2006 when changes in retirement age, benefits and cost-of-living adjustments saved $44 million a year. A second wave began in 2009 when changes in retirement eligibility, benefits and final average compensation resulted in savings of $59.4 million, on top of the annual $44 million amount. And a third wave began in 2010 when cost-of-living adjustments were limited to the first $35,000 of annual pension, saving an additional $16 million. Those cumulative savings are expected to continue, but the spreadsheet does not reflect pension savings for future years. Retiree Health-Care By contrast, the spreadsheet shows both past and future savings in retiree health-care costs as a lump sum of $111.3 million. Booth Gallogly explained those savings result from 2008 changes in eligibility and the requirement that those receiving retiree health care pay 20 percent of the cost. Those changes prompted many state employees to retire before the new rules took effect, she said. The state has already saved some of that money. For example, she said $10.6 million was saved in fiscal year 2009, but other parts of those savings will be realized over the next 30 years. So why count the pension reform savings year by year while counting the retiree health-care savings all at once? Booth Gallogly said full documentation for the year-to-year retiree health-care savings were not readily available. But, she said, "Actions you take now to reduce the unfunded liability should be counted in the year you take them. It's still good savings." "We drink from wells we did not dig," Booth Gallogly said, using a saying that stems from the Book of Deuteronomy. "Many of the things being done will have a very significant impact over time, as long as they don't get reversed." Russell Dannecker, a former state Senate fiscal adviser who is now the fiscal policy analyst at the liberal-leaning Poverty Institute, said the state will eventually save $111.3 million, but it hasn't saved that total amount yet. John Simmons, executive director of the business-backed Rhode Island Public Expenditure Council (and a member of Governor-elect Lincoln Chafee's transition team), said the Carcieri administration and the General Assembly deserve credit for both the $111.3 million in retiree health-care savings and whatever the full impact of the pension reform will be over time because those are "structural changes" that will lower the amount of money the state must spend in those areas. While some of those savings won't be realized for say 20 years, "it's savings nonetheless," he said. And if you add all that up, it would exceed the $1 billion amount cited by the governor, he said. "Co-share savings" The last big category is savings on health insurance premiums for state employees. Booth Gallogly said state employees used to pay nothing toward their health insurance but now they pay up to 25 percent, for a total savings of $101.8 million. The changes started in 2005 with nonunion employees; union employees were added in later years. Other categories Those four categories account for about 75 percent of the $1 billion in savings cited by Carcieri, but it's also worth looking at a couple of smaller categories. For example, the spreadsheet lists $15.5 million in savings from moving state offices out of leased space and into state-owned properties, such as the move of the Division of Motor Vehicles from the Apex building in Pawtucket to state-owned property in Cranston. Dannecker said such moves undoubtedly save the state rent money. But the state can also incur considerable costs from renovating and operating state-owned properties, he said. The renovations to the Forand Building, which now houses the DMV, came to $17.9 million. The final category of savings was $37.1 million in "Department of Corrections Cost Avoidance." Corrections Director A.T. Wall explained that state prisons were becoming overcrowded, threatening to exceed agreed-up limits resulting a from federal court action, so officials considered spending $31.7 million to build new housing units at the John J. Moran Medium-Security Facility. But the state avoided that cost by enacting legislation in 2008 that allowed inmates serving shorter sentences to shave time off their sentences through good behavior and participating in rehabilitation programs, he said. Dannecker said it's good the state avoided the cost of a new prison construction. But, he asked, "Is cost avoidance a savings to the taxpayer? Isn't that really just good government? It certainly did not reduce the taxpayers' burden from what it was. When I think of savings to the taxpayer, I think we were paying this amount and now we are paying less. That's how I classify savings." He offered the example of a broken refrigerator: You could pay $200 to fix it or spend $2,000 for a new one, but if you choose the less expensive option, it's a good choice but it doesn't mean you have $1,800 more in your checking account. Simmons maintained that avoiding the cost of new prison construction does represent valid savings. Berman said, "It's important to note that the governor did not find these savings alone. Almost all of them were included in the budgets that the General Assembly enacted." Carcieri spokeswoman Amy Kempe agreed that, "without the cooperation of the General Assembly, significant amounts of that savings would not have been achieved." But she said the governor can set the agenda by making proposals, and he proposed going even further in areas such as pension reform. Bottom line In the end, Carcieri's statement that "these measures saved taxpayers nearly $1 billion" requires further analysis and explanation. It's clear, for example, that many millions of dollars in savings are expected in future years but haven't been realized yet; that some savings come with offsetting costs; and that even the best budget experts disagree about issues such as whether "cost avoidance" is the same as take-it-to-the-bank, cut-my-budget savings. Also, it appears Carcieri tossed out the $1 billion figure before completing a full, accurate analysis of those savings. It's also worth nothing that the total state budget grew from $5.77 billion in fiscal year 2004 to $7.86 billion in the current year. But that includes federal funding, a major portion of the budget. The state share of spending grew from $2.72 billion to $2.94 billion in that period, about 8 percent. Booth Gallogly said state spending would have gone up more had the cuts not been made. "We would have had to either increase taxes or other revenues or reduce expenditures in areas that might have been Draconian," she said. But there's no doubt that the Carcieri administration, mostly in concert with the General Assembly, helped save taxpayers a lot of money over the past eight years. If you take the most liberal interpretation claimed by the governor -- factoring in both past and future pension-reform and retiree health-care savings -- the final figure could be substantially more than $1 billion. If you take the most conservative estimate -- only counting pension-reform and retiree health-care savings to date and excluding "cost avoidance" -- the final figure, by our calculation, would total in the neighborhood of $930 million. We take the moderate approach, rating Carcieri's claim "Mostly True."	None	Donald Carcieri	None	None	None	2010-12-05T00:00:01	2010-11-08	['None']
snes-05041	A photograph shows a pilot taking a selfie out of a plane window.	false	https://www.snopes.com/fact-check/pilot-cockpit-selfie/	None	Fauxtography	None	Dan Evon	None	Does This Photograph Show a Pilot Taking a Selfie Out a Plane Window?	20 March 2016	None	['None']
tron-00729	Don Knotts Was a Chicken Plucker Called Jesse	truth! & unproven!	https://www.truthorfiction.com/don-knotts-chicken-plucker/	None	celebrities	None	None	None	Don Knotts Was a Chicken Plucker Called Jesse	Mar 17, 2015	None	['None']
goop-00116	Katie Holmes, Jamie Foxx Buying New York Apartment Together, 	0	https://www.gossipcop.com/katie-holmes-jamie-foxx-buying-new-york-apartment-not-true/	None	None	None	Gossip Cop Staff	None	Katie Holmes, Jamie Foxx NOT Buying New York Apartment Together, Despite Report	12:57 am, October 19, 2018	None	['Katie_Holmes']
snes-02939	President Trump sent former President Obama a bill for vacations he took with taxpayer money.	false	https://www.snopes.com/fact-check/did-trump-end-obamas-vacation-scam/	None	Junk News	None	Dan Evon	None	Did Trump Just End Obama’s ‘Vacation Scam’?	14 February 2017	None	['Barack_Obama']
pomt-09938	Says Vice President Joe Biden "admits that the American people are being scammed" with the economic stimulus package.	mostly false	/truth-o-meter/statements/2009/jun/08/john-boehner/boehner-claims-biden-said-stimulus-scamming-americ/	The White House has been trumpeting the success of its economic stimulus package. President Barack Obama claimed that in its first 100 days, the plan "saved or created" 150,000 jobs (which we rated Barely True ). On June 8, 2009, Obama promised that number would quadruple by the fall. Republicans are skeptical, however, saying the package hasn't delivered as many jobs as Obama claims. In response to Obama's latest promise, House Republican Minority Leader John Boehner offered this sharp criticism, calling the stimulus a "bloated government spending scheme" that hasn't helped the economy: "Democrats said [the stimulus] would immediately create jobs, yet nearly four months later unemployment has continued to climb and none of their rosy predictions have come true," he said in a statement. "Our plan to let the American people keep more of what they earn would have created twice the jobs at half the cost of the Democrats’ bloated government spending scheme. But instead of shifting course, Democrats are doubling down on their plan to spend taxpayer dollars as fast as possible, even as their own vice president admits that the American people are being scammed." We wondered if Boehner was right that Vice President Joe Biden had been so blunt in describing the legislative centerpiece of the Obama-Biden administration. Biden held a roundtable with business leaders on June 2 and discussed the stimulus plan and the administration's efforts to spend the money quickly but still avoid waste and fraud. An Associated Press account of that meeting said, "With so much money at stake, Biden said some waste was inevitable and that a team of federal auditors had already uncovered problematic projects. 'People are being scammed already,' Biden said, promising to expose abuses whenever they were detected." Biden was referring to the fact that some people have been lured by con artists who promise big stimulus bucks in return for personal information or a fee. Take Kristann Hartley, an Ohio woman featured in a National Public Radio report from March 9, 2009. Hartley applied for a stimulus grant to weatherize her home only to find out that the Web site offering the money was a scam. But Boehner's statement suggests Biden had a whole other meaning when he talked about 'people being scammed.' In reading the full text of Boehner's statement it's clear that Boehner was suggesting the stimulus spending plan itself is a mistake and that White House claims of positive economic effects are misleading. Using Biden's "scammed" remark in that context makes it sound like Biden was saying the same thing, acknowledging that the White House "scamming" the public by pretending the stimulus spending has been working. That's not what Biden meant at all. In fact, news coverage indicates the scammers Biden was talking about are garden-variety con artists merely using the stimulus as a cover, and that the programs they seek to exploit are just a minuscule portion of the $787 billion package. The Obama administration has emphasized many other anecdotes and news stories that show the stimulus working the way it is supposed to in helping local government avoid layoffs and helping states balance their budgets. Boehner may be technically correct that Biden mentioned people being scammed in the roundtable meeting. But Boehner incorrectly suggests the vice president called the stimulus a scam and he fails to note that Biden promised "to expose abuses whenever they were detected," as the AP reported. We find Boehner's claim to be Barely True. Editor's note: This statement was rated Barely True when it was published. On July 27, 2011, we changed the name for the rating to Mostly False.	None	John Boehner	None	None	None	2009-06-08T17:10:06	2009-06-08	['United_States', 'Joe_Biden']
tron-02519	Wal-Mart is giving 5% of all online sales to homosexuals	fiction!	https://www.truthorfiction.com/wal-mart-nglcc/	None	miscellaneous	None	None	None	Wal-Mart is giving 5% of all online sales to homosexuals	Mar 17, 2015	None	['None']
snes-05465	A fan was beaten up by moviegoers after spoiling the new Star Wars movie.	false	https://www.snopes.com/fact-check/false-star-wars-fan-beaten-sharing-spoilers/	None	Junk News	None	Dan Evon	None	FALSE: Star Wars Fan Beaten For Sharing Spoilers	20 December 2015	None	['None']
pomt-08782	Property taxes "are now 18% higher than when (Mark Sharpe) first took office."	false	/florida/statements/2010/aug/20/josh-burgin/josh-burgin/	First, incumbent Mark Sharpe sent out a mailer saying he cut property taxes by 17 percent, making the case that his fiscal conservatism is a top reason he should be returned to the Hillsborough County Commission in these trying times. Oh, no he didn’t, challenger Josh Burgin shot back in a flier of his own. It was the first of at least four mail pieces that carried the teaser: "Voter Fraud Alert." Property taxes are actually "18 percent higher than when (Sharpe) first took office," said Burgin, who is seeking to unseat Sharpe in the at-large District 7 Republican primary. Awesome, we thought. Two politicians vying for the same seat making wildly opposing claims. This is why PolitiFact Florida exists! We looked at Sharpe first, and ruled that his claim was Barely True. Now we turn to Burgin’s claim, first calling him to ask him how he derived his figures. He sent us the numbers he used – the overall property tax revenue figures for each of the years Sharpe has been in office since 2004. We confirmed the numbers were accurate using Hillsborough County budget documents. In 2004, Hillsborough County collected $553.4 million in property taxes. This year, the number is projected to be $659.8 million. That’s actually a 19.2 percent increase. So Burgin was being cautious, gentle even, right? There’s just one significant problem with his calculation. And there’s another big asterisk. The county prepares its budget books and calculates its revenues and expenditures by fiscal year. And the fiscal year doesn’t mirror the calendar year. Fiscal year 2004 covers the period from Oct. 1, 2003 to Sept. 30, 2004. Sharpe first took office in November 2004. To calculate changes in tax revenue or tax rates involving Sharpe, the proper base year would be fiscal year 2005. It was not until September 2005 that Sharpe cast his first budgetary votes, setting property tax rates for fiscal year 2006. This is indeed significant because, while this may be hard to remember with property values now plummeting, home and business values were soaring during Sharpe’s first years in office. From fiscal year 2004 to fiscal year 2005, property tax revenues jumped from $553.4 million to $610.8 million. With fiscal year 2005 as the base year, that means overall county property tax revenue has increased by nearly 8 percent during Sharpe’s tenure. Burgin claimed a tax increase of well more than double that – a gross exaggeration. That one year could make such a difference is a reflection of how overheated the real estate market was in the middle part of the decade. We can illustrate the phenomenon in reverse now, with property values plummeting. Sharpe has voted on next year’s tentative budget. If the tax rate approved so far holds, county budget officials project another nearly $74 million drop in property tax revenue. By that time, tax receipts will have fallen 4 percent below what they were when Sharpe took office. That’s right: Up by 8 percent this year, down by 4 percent next year. Now for the other asterisk to Burgin’s calculation. Property tax revenues are not a perfect measure of how taxes increased or decreased. That’s because the revenue includes property taxes collected from new construction. Owners of those properties may be paying more in taxes, but it’s a reflection of, say, their home sitting on what a year or two earlier may have been an orange grove. Take new construction out of the mix, particularly during the heady building days of Sharpe’s early tenure, and the alleged tax increase is something less than 8 percent, potentially much lower. Even during the anemic market of the current fiscal year, when property values are dropping across Hillsborough County, a projected $1.2 billion in new construction is expected. Burgin knows, or should know, his way around a budget book. He spent part of 2004 and 2005 as an aide to former County Commissioner Brian Blair, who tasked him with just these sorts of exercises. Fraud is a serious charge to level at anyone, even though some politicians tends to toss the word at opponents rather casually. Burgin has done it at least four times so far this campaign. But before accusing someone of an intentional perversion of the truth, it’s probably good to double- and triple-check the basis of your claim. We have no way of knowing if Burgin’s claim was an intentional distortion or an innocent miscalculation. Either way, we find this statement to be False.	None	Josh Burgin	None	None	None	2010-08-20T17:35:18	2010-08-20	['None']
